StudentName A1 A2 A3 A4 A5 A6 A7 T1 T2 T3 T4 T5 T6 T7 MidTerm
Garret 63 83 100 91 100 100 100 100 95 75 92 100 74 100 62
Janaya 57 79 49 73 50 64 35 46 16 2 25 60 73 0 44
Strickland 96 62 89 96 94 78 52 59 86 76 20 53 58 86 16
Hukill 18 67 51 34 97 50 61 62 69 100 93 43 80 81 38
Kath 100 94 77 100 100 92 52 0 15 0 43 65 6 56 46
MacCarthy 84 69 78 76 95 63 73 100 77 87 70 100 100 100 76
Consalve 43 49 82 77 75 72 67 90 82 74 57 52 62 49 74
Rea 96 100 100 100 100 100 81 85 34 37 41 20 70 25 70
Banna 69 88 63 77 89 100 84 32 39 40 26 23 56 7 39
Dag 100 100 100 100 99 98 92 100 77 87 70 100 100 100 76
Magdalene 80 100 72 87 72 100 100 8 48 56 100 51 61 57 37
Dorolisa 60 82 83 56 93 86 67 51 100 77 66 98 36 51 25
Dennie 80 53 81 84 78 90 100 96 91 79 100 78 60 46 55
Schuman 98 72 100 85 79 100 72 100 77 87 70 100 100 100 76
Osborne 100 100 100 100 100 100 67 34 0 0 22 60 28 79 62
Igal 29 35 75 46 73 60 48 100 77 87 70 100 100 100 76
Jessabell 76 64 61 52 86 35 88 36 28 31 35 89 37 81 100
